"Наименование","ЕИК","Вид на агенцията","Към участник","Описание"
"колонада еоод","160136319","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СТАРИЯТ МОСТ ЕООД","200590777","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АСТРОН-ЦВЕТКОВ И СИЕ СД","836036807","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"вега принт 95 еоод","115914695","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"конкурент еоод","106004889","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"КОБАЛТ МЕДИЯ ГРУП ЕООД","205537052","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"лакс медиа оод ","121819228","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"МЕДИА ГРУП 2014 ЕООД","203237540","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"МИХАЙЛОВ ТВ ООД","130119552","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АЛПИКО ПЪБЛИШИНГ ЕООД","106060432","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"модерна враца еоод","106633588","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Издателска къща Марица ЕООД","115350662","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"връзки с обществеността сд","121118405","За осъществяване на връзки с обществеността","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"РИМЕКС ООД","106514493","Социологическа","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ДМА МВ ЕООД ","205727190","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ДИАНА ЕООД","116550018","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЕН ДЖИ ВИ ГРУП ЕООД","204560660","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"дружево еоод","201391632","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"РИМЕКС ООД","106514493","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Медиатор 2015 ООД","203365903","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"мулти принт оод","122013040","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ВЕРБАЛ ООД","200957052","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"МЕДИА ЛАЙТ ЕООД","147055321","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"мадара еоод","123015400","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"""Антемон"" ЕООД","200274302","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ОП ОБЩИНСКИ МЕДИЕН ЦЕНТЪР","0009317210563","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ШУМЕН ОНЛАЙН ЕООД","204848278","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Издателска къща Родопи ООД","108011195","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"галилея 2020 еоод","206050713","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"КРИВИЦКИ ТРЕЙД ООД","200107591","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЗАГОРА.БГ ЕООД","205920976","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЗАГОРА.БГ ЕООД","205920976","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"""ПАЙНЕР"" ООД","126012676","Рекламна","МОРАЛ ЕДИНСТВО ЧЕСТ - Партия","Рекламна"
"""РЕ БРАНД"" ООД","202491807","Рекламна","МОРАЛ ЕДИНСТВО ЧЕСТ - Партия","Рекламна"
"""ДМД КОНСУЛТИН' ООД","203889083","Рекламна","МОРАЛ ЕДИНСТВО ЧЕСТ - Партия","Рекламна"
"""ЕКСТРАПАК"" АД","207975633","Рекламна","МОРАЛ ЕДИНСТВО ЧЕСТ - Партия","Рекламна"
"НОВА БРОУДКАСТИНГ ГРУП ЕООД","205738443","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДМА МВ ЕООД ","205727190","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"М-ПРЕС ООД","107523513","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ЕЛМАЗОВИ ООД","200543375","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ИК КОЛОНЕЛ ООД","817038440","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ОТВЕС КОНСУЛТ ЕООД","200810127","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"СИГМА -ГМД ЕООД","208136367","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"Кракра АД","823090000","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ТАНДЕМ КОМПЮТЪРС ЕООД","202410637","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ЛУН АРТ ЕООД ВАРНА","200051438","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"Иноуейв Рисърч ЕООД","205543404","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"МОРЕТО НЕТ ЕООД","208626887","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"Един 13 ЕООД Бургас","206413239","Социологическа","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Социологическа"
"ДМА МВ ЕООД ","205727190","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ПИЯР Партнер Груп ","201365727","Социологическа","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Социологическа"
"ЗНАМЕ ЕООД ","125506704","Социологическа","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Социологическа"
"ДЖИ ЕЛ МЕДИЯ ГРУП ЕООД","202186438","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ГУСТО МЕДИЯ ООД","202243946","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"МЕДИА ЛАЙТ ЕООД","147055321","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ИМПРЕС ЕООД София","104117607","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"Издателска къща Борба В.Търново вестник Борба","200614908","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"Янтра прес АД В.Търново вестник Янра днес","104092980","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"Общинско кабелно радио В.Търново","0001336340501","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"Пи ЕМ Струдио Велико Търново","201353635","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"Синхрон медия Велико Търново","104691751","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"БЪЛГАРСКА НАЦИОНАЛНА ТЕЛЕВИЗИЯ","000672350","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"168 ЧАСА ЕООД","831400025","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ЕКРИТ МЕДИА ООД","204600845","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ЧЕРНОМОРСКИ ФАР ЕАД","147111873","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"НОВИНЮС ЕООД","201645194","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"ДАТА НЮЗ ЕООД","207089078","За осъществяване на връзки с обществеността","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","За осъществяване на връзки с обществеността"
"ПЕРС Е ЕООД","205930900","Рекламна","КП БСП - ОБЕДИНЕНА ЛЕВИЦА - Коалиция","Рекламна"
"Меджик аутор ЕООД","202816285","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"КЕШЕ ЕООД","206021074","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"Наблюдател ЕООД","123508507","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ДИВИДЕНТ МЕДИА ЕООД","206316466","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"СТЕВЕСТ ЕООД","200676888","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Иноуейв Рисърч ЕООД","205543404","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ТОП ПРИНТ ООД","148051055","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Уебграунд Груп АД","207051177","За осъществяване на връзки с обществеността","КП СИЯНИЕ - Коалиция",""
"ОФФ МЕДИЯ АД","201670952","Рекламна","КП СИЯНИЕ - Коалиция",""
"ЕС ТИ ЗАГОРА ЕООД","202340772","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
""" Амичи медия"" ООД","205829658","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СПОТ ДИЗАЙН ЕООД","207651841","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СТАРИЯТ МОСТ ЕООД","200590777","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СТЕФАНИ РЕКЛАМА ЕООД   ","204356782 ","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"КРИС ДИЗАЙН  ЕООД    ","117693072","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ивко еоод","114123665","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ОП Русе Арт","0005306320317","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ЛК СЪРВИС ООД","200191511   ","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ТАНДЕМ КОМПЮТЪРС ЕООД","202410637","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АДВИЖЪН ГРУП ЕООД","205231333","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЛАЙТМЕДИЯ ООД    ","200368730  ","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"""КЕРЕМИДЧИЕВ И РАЙКОВА И СИЕ"" ООД","205664726","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"МЕТРОПОЛИС ГРУП АД","175257604","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"'ДИАНА КАБЕЛ ТВ"" ООД","128029350","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ТЕЛЕВИЗИЯ ДОБРУДЖА ООД","203201895","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МЕДИЯ ОНЛАЙН ГРУП ЕООД","204191601","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Информационна Агенция Добруджа ЕООД","202416896","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ДОБРУДЖА СПЕКТЪР ООД","124134441","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ПРО НЮЗ ДОБРИЧ ЕООД","204800657","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"РЕКЛАМНА КЪЩА ЕООД","148060684","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"биколор оод","175078989","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"БЪЛГАРСКО НАЦИОНАЛНО РАДИО","000672343","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ПЕТЕЛ.БГ ВАРНА","201641281","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Еском Медиа Груп ООД","202355379","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Издателска къща Родопи ООД","108011195","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АРДА 2022 ЕООД","206762251","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Сени медия ЕООД","203025651","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"РРС КЪРДЖАЛИ","0006723430097","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"3СМ ООД","206688712","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"еска арт студио еоод ","204131287","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Студио Унико ЕООД","200468129","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ЛЕД МЕДИЯ ГРУП","202168422","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Полипрес ООД","817069375","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"Росица ЕООД","107522678","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"""НЮЗ ХАСКОВО"" ЕООД","201822748","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ДАРИК РАДИО АД","831476119","За осъществяване на връзки с обществеността","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ХАСКОВО ИНФО ЕООД","201928228","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"''ХАСКОВО НОВИНИ"" ООД","206668777","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Фактор БГ ЕООД","205716799","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АНАСТАС-Ф ЕООД","200956559","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ИМД МЕДИЯ ГРУП ЕООД","206829077","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АЛФАМАРКЕТ ПРИМ ЕООД","202587210","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"медия поинт еоод","131198481","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"МЕДИЯ НЮЗ ЕООД","207131132","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЗАХАРНИ ЗАВОДИ ТРЕЙД ЕАД","203498960","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СЛИВЕНПОСТ ЕООД","206463765","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СТУДИО МЕДИЯ ЕООД","201583287","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Фреш Принт ЕООД","131060975","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ет уди-м-м.великова","828007606","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"""Струма.Ком Медия"" ООД","208055659","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Джей ай груп ЕООД","206577039","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Елфи М ЕООД","203928426","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ДМА МВ ЕООД ","205727190","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ТОП ПРЕСА МЕДИЯ ГРУП ЕООД","205586971","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"Медийна група Г13 ЕООД","206430345","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"телесат  оод","106000517","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ИК КОЛОНЕЛ ООД","817038440","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ОТВЕС КОНСУЛТ ЕООД","200810127","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"„РЕГИОНА ПРЕС“ ЕООД","207752370","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ЕЛМАЗОВИ ООД","200543375","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"БУМЕРАНГ ФМ ЕООД","107046713","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"КОНКУРЕНТ НЮЗ ЕООД","200137677","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Ер Ен Трейдинг ЕООД","147216461","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"МЕРИДИАН 26 ООД","119100019","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СТАКС ООД","130977519","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"БРАЙТБИЛД АД","200971995","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"Издателска къща Марица ЕООД","115350662","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ТРАФИК БУЛ ООД","203157560","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"БЕСТ ОФИС СЪРВИС ЕООД","200497700","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ОБЩИНА САМОКОВ","000776491","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"АКРОМ-БГ ООД","205496844","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"РРС СТАРА ЗАГОРА","0006723430059","За осъществяване на връзки с обществеността","КП ГЕРБ-СДС - Коалиция",""
"ДЖИ ПРОДЖЕКТ ООД","103933098","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"ШУМЕН СИТИ ЕООД","127626182","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"НМ-2009 ЕООД","200628719","Рекламна","КП ГЕРБ-СДС - Коалиция",""
"СИНХРОН МЕДИЯ ООД","104691751","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ОП Общинско кабелно радио","0001336340501","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"виа понтика бг еоод","206515756","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ИК БОРБА АД","200614908","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЯНТРАПРЕС АД","104092980","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ВиоНета дизайн еоод","202758024","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СМАРТ ХОУМ СИС ООД - НОВА ВАРНА","202977153","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ВЕРБАЛ ООД","200957052","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ИНФОМРЕЖА ЕООД","201595600","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Наблюдател ЕООД","123508507","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ТРЕВНЕНСКА СЕДМИЦА ЕООД","107543940","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЕЛЕКТРОННА МЕДИЯ ЕООД","203827110","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"АДВИЖЪН ГРУП ЕООД","205231333","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЯНТРАПРЕС АД","104092980","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СДРУЖЕНИЕ КРИЕЙТИВ КЛУБ","206025592","Рекламна","КП АЛИАНС ЗА ПРАВА И СВОБОДИ - Коалиция",""
"ПЛОВДИВ ПРЕС ООД","204808860","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"МАРМИЛА ЕООД","202813086","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЕТ ПВ ПЛЮС-ИВАН ИЛИЕВ","114552814","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ЕТ Зетра-Петко Чернев","030068263","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ПЛОВДИВ ПРЕС ООД","204808860","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"синтез гарафични решения еоод","203549910","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"брилянт дизайн","204188377","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"митов брандс груп еоод","206538641","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"брилянт дизайн","204188377","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"СМИЛКОВ ЕООД","101742347","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ФОНДАЦИЯ ""СПИРИТ ПЛЕВЕН""","205911475","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"МАРМИЛА ЕООД","202813086","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"време е за парти с боян николов еоод","207348068","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"кю графикс еоод","207982154","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"никол 2 еоод","106067341","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"никол 2 еоод","106067341","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"елфи ж.георгиев еоод","208333350","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Фактор БГ ЕООД","205716799","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"аквапарк хисар еоод","203644244","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"пловдив дейли оод","207724531","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"ОБЩИНА КОЗЛОДУЙ","000193250","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"Еском Медиа Груп ООД","202355379","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"САТ ТВ ООД","020366756","Рекламна","КП ПРОГРЕСИВНА БЪЛГАРИЯ - Коалиция",""
"БТВ Медиа Груп ЕАД","130081393","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"РЕЗОН ООД","121184622","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"мулти принт оод","122013040","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ИНВЕСТОР.БГ АД","130277328","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Издателска къща Марица ЕООД","115350662","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"УЕБ МЕДИЯ ГРУП АД","131387286","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ГОЛФ БЪЛГАРИЯ ЕООД","200845352","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Росица ЕООД","107522678","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Ей Ем Дизайн ЕООД","200927290","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ИНФОМРЕЖА ЕООД","201595600","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"АРТ ПРИНТ ЕООД","127573300","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"Аутдор Медиа Тийм ЕООД","205882600","Рекламна","КП ПРОДЪЛЖАВАМЕ ПРОМЯНАТА - ДЕМОКРАТИЧНА БЪЛГАРИЯ - Коалиция",""
"ТИЙМ Т КОНСУЛТ ЕООД","204120682","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"КАБЕЛ САТ - ЗАПАД ООД","101140198","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
"Иноуейв Рисърч ЕООД","205543404","За осъществяване на връзки с обществеността","ИМА ТАКЪВ НАРОД - Партия","медийно отразяване"
