111800088;0;0;69;1;0;65;0;25;2;1;8;17;20;24;1;0;3;3;33;0;0;0;0;0
111800089;0;2;122;0;0;102;0;17;1;0;2;21;22;38;2;1;5;6;34;0;0;1;0;0
111800090;1;0;73;0;0;79;1;16;0;1;6;17;8;22;1;1;2;8;45;1;0;1;0;0
111800091;0;1;113;1;0;115;2;22;0;3;8;22;15;43;0;2;9;2;34;1;0;0;0;0
111800092;0;1;104;0;0;99;0;23;1;0;12;29;15;52;4;0;6;1;49;0;0;1;0;0
111800093;1;2;113;0;0;120;3;17;2;1;10;20;22;40;3;0;8;4;45;0;1;2;0;0
111800094;2;0;86;0;0;95;0;21;1;3;5;14;17;51;0;3;8;1;33;0;0;0;0;0
111800096;0;0;59;0;0;69;1;5;2;7;1;19;8;16;6;1;43;13;0;0;0;0;0;0
111800097;1;0;30;0;1;21;0;7;0;0;6;3;1;1;0;0;2;1;27;0;0;0;0;0
111800098;0;0;23;0;0;9;0;2;0;0;0;4;2;0;0;0;1;0;4;0;0;0;0;0
111800099;0;0;82;0;0;72;0;18;1;1;7;15;12;26;0;0;5;0;25;0;0;0;0;0
111800100;1;2;89;0;0;86;0;22;0;3;2;6;5;26;0;0;1;2;30;0;1;0;0;0
111800101;0;8;97;0;0;69;3;13;0;4;8;20;32;18;1;1;11;1;46;0;0;0;0;0
111800102;0;0;38;0;0;29;0;2;1;5;1;4;4;6;0;1;7;2;9;0;0;0;0;0
111800103;2;1;26;2;0;8;0;15;1;4;3;3;7;4;1;2;13;1;21;0;0;0;0;0
111800104;0;0;12;0;0;5;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
111800105;0;0;12;0;0;5;0;0;0;0;0;1;0;3;0;0;0;0;1;0;0;0;0;0
111900001;1;2;221;0;2;108;2;19;3;19;2;8;9;27;0;1;22;1;17;0;0;0;0;0
111900002;0;1;156;1;0;121;0;24;3;5;3;10;14;21;0;2;7;0;22;0;0;0;0;0
111900003;0;3;191;0;1;164;1;25;1;0;5;8;11;47;0;0;3;3;36;0;0;0;0;0
111900004;0;0;123;0;0;153;0;7;0;0;2;10;9;29;2;2;8;0;25;0;0;0;0;0
111900005;1;0;171;0;0;197;1;17;0;0;12;12;13;27;0;1;9;0;26;0;0;0;0;0
111900006;1;0;152;0;0;151;0;27;0;0;20;11;18;32;0;1;24;5;53;0;0;0;0;0
111900007;0;0;122;1;0;162;0;14;0;10;2;13;10;40;0;2;48;6;16;0;0;0;0;0
