key,clicks,impressions,ctr,position
лили кочаркова,3.0,8.0,0.375,6.38
атанас нанов минев,3.0,6.0,0.5,6.17
орхидея делиева,3.0,6.0,0.5,15.5
стела загорчева,3.0,6.0,0.5,18.5
избирателни секции испания,3.0,5.0,0.6,1.8
александър арамян,3.0,5.0,0.6,3.8
гьоксел хюсеин,3.0,4.0,0.75,13.0
атанас петров костадинов,2.0,133.0,0.015,10.03
панайот бориславов,2.0,112.0,0.0179,8.61
георги николаев кръстев,2.0,99.0,0.0202,9.9
владимир янков дпс,2.0,74.0,0.027000000000000003,4.08
николета лингорова-христова,2.0,73.0,0.0274,9.12
красимир банков,2.0,70.0,0.0286,9.34
петър борисов петров,2.0,67.0,0.029900000000000003,9.09
павлина ангелова ковачева,2.0,44.0,0.0455,7.41
ивана стойнева благоевград,2.0,43.0,0.04650000000000001,4.77
пламен белов,2.0,43.0,0.04650000000000001,11.12
георги александров чакъров,2.0,35.0,0.0571,7.09
тодор стефанов попов,2.0,34.0,0.0588,2.18
адриана василева петрова,2.0,33.0,0.060599999999999994,3.18
захар емона,2.0,33.0,0.060599999999999994,8.15
пламена александрова димитрова,2.0,31.0,0.0645,8.29
дамян диянов попов,2.0,27.0,0.0741,5.78
звезделина щерева,2.0,27.0,0.0741,9.89
светлана русева митошева,2.0,24.0,0.0833,7.33
михаил ганев депутат,2.0,22.0,0.0909,4.14
стефан белчев роден,2.0,21.0,0.09519999999999999,6.62
захар емона цена,2.0,21.0,0.09519999999999999,6.67
георги христов митов,2.0,19.0,0.10529999999999999,2.63
цветан славейков цветанов,2.0,19.0,0.10529999999999999,9.42
красимир андреев папазов,2.0,18.0,0.11109999999999999,7.83
огнян лютаков,2.0,18.0,0.11109999999999999,11.11
георги янев кърджали,2.0,17.0,0.1176,7.71
марин тихомиров депутат,2.0,17.0,0.1176,11.0
павлина ковачева,2.0,17.0,0.1176,11.59
антон адамов,2.0,17.0,0.1176,11.94
здравко огнянов прогресивна българия,2.0,16.0,0.125,7.44
сейфи сабри мехмедали,2.0,16.0,0.125,7.75
драгомир таков,2.0,16.0,0.125,8.31
иван данаилов иванов,2.0,16.0,0.125,8.88
дарин матов,2.0,16.0,0.125,11.62
грета колева,2.0,16.0,0.125,12.44
станимир бояджиев,2.0,15.0,0.1333,10.6
иван градев,2.0,14.0,0.1429,13.57
иван георгиев кожухаров,2.0,12.0,0.16670000000000001,9.92
перса накова,2.0,11.0,0.1818,11.55
юра витанова,2.0,11.0,0.1818,19.36
мирослав райков стара загора,2.0,10.0,0.2,7.6
михаил добринов кашеров,2.0,10.0,0.2,7.9
тодор динков иванов,2.0,10.0,0.2,8.5
ламбро попов,2.0,10.0,0.2,9.7
аспарух карастоянов,2.0,10.0,0.2,13.4
илчо боев,2.0,10.0,0.2,17.4
симона трайчева зескас,2.0,9.0,0.22219999999999998,4.22
виктор рушанов,2.0,9.0,0.22219999999999998,8.67
виолета кръстева данс,2.0,8.0,0.25,4.5
петър тумбев,2.0,8.0,0.25,7.5
мая русанова,2.0,8.0,0.25,8.88
павел масов,2.0,7.0,0.2857,9.0
севгин хълми,2.0,7.0,0.2857,16.0
димитър димчев наумов,2.0,6.0,0.3333,4.33
йордан татарски,2.0,6.0,0.3333,8.83
мариам саркис сакъз,2.0,5.0,0.4,6.8
станислава йорданова генадиева,2.0,5.0,0.4,6.8
орлин якимов,2.0,5.0,0.4,12.4
гьоксел гюрсел хюсеин,2.0,4.0,0.5,4.5
кунчо тодоров кунев,2.0,4.0,0.5,4.5
борислав християнов кръстев,2.0,4.0,0.5,5.0
камен лисички,2.0,4.0,0.5,7.25
десислава панталеева,2.0,4.0,0.5,12.0
ali hatip,2.0,4.0,0.5,48.75
константин лъчезаров динев,2.0,3.0,0.6667000000000001,6.33
тинка дякова,2.0,3.0,0.6667000000000001,7.67
минко тодоров дудев,2.0,3.0,0.6667000000000001,8.0
иван аврамов каменов,2.0,3.0,0.6667000000000001,8.67
иван филипов кляшев,2.0,3.0,0.6667000000000001,9.33
милен стефанов петров,2.0,2.0,1.0,8.5
габриела керанджиева,2.0,2.0,1.0,15.5
тансер бейти,2.0,2.0,1.0,15.5
стежерово,2.0,2.0,1.0,44.0
петя божидарова димитрова,1.0,490.0,0.002,9.23
петя божидарова димитрова снимки,1.0,348.0,0.0029,9.22
симеон генчев,1.0,114.0,0.0088,8.04
nadya bogdanova,1.0,100.0,0.01,6.98
димитрия митренова,1.0,73.0,0.0137,8.9
псило балсам марешки,1.0,73.0,0.0137,9.6
райна дамянова,1.0,62.0,0.0161,15.27
зоя андреева,1.0,60.0,0.0167,9.3
чудомир александров,1.0,57.0,0.0175,7.86
живко бончев желев,1.0,54.0,0.018500000000000003,9.46
гриша нешев,1.0,47.0,0.0213,8.04
марина сергеевна драгомирецкая,1.0,46.0,0.0217,6.72
