key,clicks,impressions,ctr,position
https://electionsbg.com/candidate/Наталия Иванова Стойнева/,11.0,78.0,0.141,5.21
https://electionsbg.com/sections/46045,11.0,74.0,0.14859999999999998,7.11
https://electionsbg.com/candidate/Александър Валентинов Дрехарски/,11.0,73.0,0.1507,3.01
https://electionsbg.com/candidate/Валентин Димитров Пейков,11.0,59.0,0.1864,6.27
https://electionsbg.com/candidate/Иван Илчев Ангелов,11.0,59.0,0.1864,6.36
https://electionsbg.com/sections/68134-2511,11.0,59.0,0.1864,7.71
https://electionsbg.com/section/131900043,11.0,55.0,0.2,6.49
https://electionsbg.com/sections/59094,11.0,53.0,0.2075,5.28
https://electionsbg.com/sections/20465,11.0,53.0,0.2075,6.57
https://electionsbg.com/candidate/Цено Младенов Тодоров/donations,11.0,30.0,0.3667,6.17
https://electionsbg.com/candidate/Мартин Мариов Маринов,11.0,30.0,0.3667,6.63
https://electionsbg.com/sections/81089,11.0,23.0,0.4783,5.22
https://electionsbg.com/candidate/Мария Димова Илиева,10.0,375.0,0.026699999999999998,9.14
https://electionsbg.com/candidate/Георги Владов Григоров/,10.0,162.0,0.0617,5.56
https://electionsbg.com/candidate/Мирена Николаева Гуглева-Иванова/,10.0,155.0,0.0645,6.69
https://electionsbg.com/candidate/Рада Атанасова Келевска-Терзиева/,10.0,122.0,0.08199999999999999,7.36
https://electionsbg.com/candidate/Деница Владимирова Цветкова,10.0,95.0,0.10529999999999999,4.28
https://electionsbg.com/candidate/Нези Нези Карахасан,10.0,86.0,0.11630000000000001,8.66
https://electionsbg.com/sections/80371,10.0,69.0,0.1449,34.74
https://electionsbg.com/candidate/Ивайло Иванов Павлов,10.0,64.0,0.1562,6.78
https://electionsbg.com/section/234615093,10.0,63.0,0.15869999999999998,7.62
https://electionsbg.com/candidate/Александра Йовчева Вълчева,10.0,61.0,0.16390000000000002,9.34
https://electionsbg.com/candidate/Георги Иванов Зонгов,10.0,53.0,0.1887,3.91
https://electionsbg.com/candidate/Муси Славчов Стоянов/,10.0,53.0,0.1887,5.25
https://electionsbg.com/section/131900044,10.0,49.0,0.2041,5.59
https://electionsbg.com/section/273600005,10.0,47.0,0.21280000000000002,6.0
