32;010200007;1;;ELZA4E2A00016324;;;;;;;;;;;;89;89;0
32;010200007;1;;CHCA4E1A00012354;;;;;;;;;;;;90;90;0
25;010200008;1;|01210164|01210164|01210164;;;600;624;4;150;599;1;;;150;;;;
32;010200008;1;;CHCA4E1A00012642;;;;;;;;;;;;150;150;0
25;010200009;1;|01210165|01210165|01210165;;;450;468;2;179;449;1;;;179;;;;
32;010200009;1;;CHCA4E1A00010408;;;;;;;;;;;;179;179;0
25;010200010;1;|01210166|01210166|01210166;;;450;436;5;161;449;1;;;161;;;;
32;010200010;1;;CHCA4E1A00011167;;;;;;;;;;;;161;160;1
24;010200011;1;|01200026|01200026|01200026|01200026;;;200;165;4;118;81;1;;118;;1;117;116;1
25;010200012;1;|01210167|01210167|01210167;;;600;566;3;230;599;1;;;230;;;;
32;010200012;1;;CHCA4E1A00010400;;;;;;;;;;;;90;88;2
32;010200012;1;;CHCA4E1A00011887;;;;;;;;;;;;140;137;3
24;010200013;1;|01200027|01200027|01200027|01200027;;;40;29;5;18;21;1;;18;;0;18;18;0
24;010200014;1;|01200028|01200028|01200028|01200028;;;200;190;4;120;79;1;;120;;1;119;119;0
24;010200015;1;|01200029|01200029|01200029|01200029;;;200;159;4;120;79;1;;120;;0;120;120;0
24;010200016;1;|01200030|01200030|01200030|01200030;;;200;210;3;161;38;1;;161;;0;161;161;0
24;010200017;1;|01200031|01200031|01200031|01200031;;;150;129;4;78;71;1;;78;;0;78;78;0
24;010200018;1;|01200032|01200032|01200032|01200032;;;80;68;6;27;52;1;;27;;0;27;27;0
24;010200019;1;|01200033|01200033|01200033|01200033;;;230;217;0;153;76;1;;153;;0;153;153;0
25;010300001;1;|01210001|01210001|01210001;;;600;567;6;227;599;1;;;227;;;;
32;010300001;1;;ELZA4E2A00017611;;;;;;;;;;;;227;224;3
25;010300002;1;|01210002|01210002|01210002;;;400;357;6;140;399;1;;;140;;;;
32;010300002;1;;ELZA4E2A00016685;;;;;;;;;;;;140;138;2
25;010300003;1;|01210003|01210003|01210003;;;500;473;4;197;499;1;;;197;;;;
32;010300003;1;;CGEA4E0A00007859;;;;;;;;;;;;197;193;4
25;010300004;1;|01210004|01210004|01210004;;;600;544;8;192;599;1;;;192;;;;
32;010300004;1;;CHCA4E1A00008596;;;;;;;;;;;;192;189;3
25;010300005;1;|01210005|01210005|01210005;;;600;610;9;235;599;1;;;235;;;;
32;010300005;1;;CHCA4E1A00010678;;;;;;;;;;;;235;232;3
25;010300006;1;|01210006|01210006|01210006;;;600;607;8;151;599;1;;;151;;;;
32;010300006;1;;CGEA4E0A00007786;;;;;;;;;;;;151;150;1
25;010300007;1;|01210007|01210007|01210007;;;600;630;8;60;599;1;;;60;;;;
32;010300007;1;;CGEA4E0A00007989;;;;;;;;;;;;60;60;0
25;010300008;1;|01210008|01210008|01210008;;;700;673;9;156;699;1;;;156;;;;
32;010300008;1;;CHCA4E1A00008450;;;;;;;;;;;;156;150;6
25;010300009;1;|01210009|01210009|01210009;;;700;692;6;119;699;1;;;119;;;;
32;010300009;1;;EXWA4E2A01020981;;;;;;;;;;;;119;119;0
25;010300010;1;|01210010|01210010|01210010;;;700;692;6;172;699;1;;;172;;;;
32;010300010;1;;CHCA4E1A00012214;;;;;;;;;;;;172;168;4
25;010300011;1;|01210011|01210011|01210011;;;600;597;5;222;599;1;;;222;;;;
32;010300011;1;;CHCA4E1A00009285;;;;;;;;;;;;222;218;4
25;010300012;1;|01210012|01210012|01210012;;;600;580;4;204;599;1;;;204;;;;
32;010300012;1;;ELZA4E2A00017140;;;;;;;;;;;;204;202;2
26;010300013;1;|01220001|01220001|01220001|01220001;;;600;558;3;194;441;1;194;158;36;0;158;155;3
27;010300013;1;|01230001|01230001|01230001;CHCA4E1A00012517;1;;;;;;;;;;;36;36;0
25;010300014;1;|01210014|01210014|01210014;;;600;540;2;206;599;1;;;206;;;;
32;010300014;1;;ELZA4E2A00017375;;;;;;;;;;;;206;199;7
25;010300015;1;|01210015|01210015|01210015;;;600;583;5;188;599;1;;;188;;;;
32;010300015;1;;CHCA4E1A00009613;;;;;;;;;;;;188;187;1
25;010300016;1;|01210016|01210016|01210016;;;600;577;8;262;599;1;;;262;;;;
32;010300016;1;;ELZA4E2A00017497;;;;;;;;;;;;262;261;1
25;010300017;1;|01210017|01210017|01210017;;;500;516;9;193;499;1;;;193;;;;
32;010300017;1;;CHCA4E1A00011264;;;;;;;;;;;;193;191;2
